State_Name,Average_Yield
Andhra Pradesh,3.316003133304633
Karnataka,2.8310191686214754
Tamil Nadu,2.58185620587412
Telangana,2.3685899831171455
Punjab,2.2222440448985563
Himachal Pradesh,2.0817643400118873
Bihar,1.8739799120322158
West Bengal,1.8303120541450975
Kerala,1.6821428571428572
Haryana,1.5186579806224156
Maharashtra,1.503007300317999
Chhattisgarh,1.2828179458124909
Gujarat,1.2657512894494296
Madhya Pradesh,1.2649413386541093
Uttarakhand,1.2307866845800888
Orissa,1.2282044881938805
Uttar Pradesh,1.159693356585145
Jharkhand,1.1427692453626543
Rajasthan,1.0510325834797998
Assam,0.8238524116690574
